32.01,81.35
38.87,72.25
85.02,81.73
11.54,52.49
81.21,77.81
58.92,15.62
44.59,71.05
19.77,49.70
50.13,97.10
59.43,12.66
9.57,17.43
64.36,25.08
19.50,13.95
1.68,40.77
77.25,91.24
12.02,54.80
25.46,33.19
73.19,51.51
80.63,54.67
64.60,3.66
16.34,8.49
47.02,43.58
26.76,59.26
54.31,1.07
77.36,32.64
69.51,8.56
15.51,71.50
19.27,43.74
11.15,51.22
19.59,78.61
37.05,4.31
37.46,37.59
23.57,12.09
10.62,62.22
47.91,75.31
45.41,21.81
98.45,27.07
14.76,56.12
79.51,69.07
64.41,64.82
6.80,57.49
2.40,66.40
70.63,5.27
35.40,41.86
91.80,85.27
23.39,22.07
14.32,81.89
28.63,12.39
78.17,18.64
19.44,28.84
