42.74,24.86
43.21,25.33
40.00,26.19
39.04,27.42
34.27,22.22
41.07,27.28
48.59,24.96
40.14,29.33
39.61,25.36
32.73,26.22
37.66,29.71
46.27,25.34
36.30,27.67
39.24,26.99
41.88,24.66
36.11,33.96
39.46,23.55
42.74,23.26
38.48,33.31
35.06,27.49
48.20,22.44
43.78,27.22
32.05,26.24
44.66,26.10
40.86,27.19
44.40,44.01
53.30,39.13
52.29,47.11
49.01,42.32
51.95,43.35
51.51,38.55
57.09,47.51
57.06,36.99
47.63,39.88
54.65,37.38
56.62,48.48
51.29,46.22
50.14,41.17
51.74,41.56
58.44,38.24
57.21,33.84
60.38,44.58
46.50,42.08
56.45,36.10
46.70,35.24
60.48,37.85
53.76,50.17
56.28,36.24
46.80,43.39
46.15,43.07
50.82,23.67
55.81,19.79
63.03,26.21
59.62,15.10
53.94,13.32
53.27,24.50
62.41,25.65
58.22,24.95
58.37,14.65
55.70,21.79
58.85,29.03
57.97,29.19
51.83,19.21
55.64,22.26
60.69,15.05
57.59,31.86
52.15,17.63
52.43,20.02
56.00,26.55
51.19,26.40
62.58,17.81
60.62,27.32
55.20,22.83
55.73,23.74
60.97,30.65
6.80,43.70
5.24,49.99
2.04,39.38
11.33,52.47
7.49,39.85
1.12,38.81
1.32,48.82
4.94,44.20
10.49,36.84
11.39,38.06
11.62,45.97
6.79,44.23
7.89,34.05
-0.03,40.42
9.35,42.30
12.04,48.87
-1.67,41.95
-0.18,49.09
7.64,42.98
14.22,48.38
8.39,43.08
8.80,45.64
2.75,44.63
13.03,50.83
9.96,39.88
61.53,75.55
60.00,71.43
55.26,80.00
55.69,81.12
65.61,72.18
54.14,74.29
57.83,74.92
50.76,75.59
63.22,75.00
62.41,68.22
59.44,81.18
60.05,71.15
59.66,73.03
60.24,71.64
59.38,71.11
60.76,72.86
59.90,70.99
58.51,68.26
66.40,66.27
58.27,78.46
59.70,66.88
56.22,77.24
60.28,70.76
57.40,79.93
59.73,72.79
92.72,22.19
95.21,21.25
100.20,21.15
97.14,20.04
93.68,25.19
93.45,14.12
97.59,17.82
96.34,21.61
96.66,16.97
95.21,21.38
95.99,20.55
95.30,20.74
95.86,24.37
87.96,15.11
95.96,24.83
95.26,21.11
93.01,24.29
95.14,21.07
86.46,25.45
95.44,20.56
94.03,21.30
91.34,25.44
89.83,20.44
99.91,27.61
93.84,14.80
